,Source,Target,Weight,Type
0,"Niemann, Hans Moke","Oberoi, Shelev",1,Directed
1,"Niemann, Hans Moke","Gorovets, Andrey",1,Directed
2,"Gorovets, Andrey","Niemann, Hans Moke",1,Directed
3,"Tang, Andrew","Niemann, Hans Moke",1,Directed
4,"Balakrishnan, Praveen","Niemann, Hans Moke",1,Directed
5,"Niemann, Hans Moke","Balakrishnan, Praveen",1,Directed
6,"Niemann, Hans Moke","Subervi, Jonathan",1,Directed
7,"Niemann, Hans Moke","Slade, Theodore",1,Directed
8,"Niemann, Hans Moke","Boris, Peter Theodore",1,Directed
9,"Perske, Thore","Niemann, Hans Moke",1,Directed
10,"Niemann, Hans Moke","Bartochowski, Nicholas J",1,Directed
11,"Vorontsov, Pavlo","Niemann, Hans Moke",1,Directed
12,"Niemann, Hans Moke","Ewing, Gabriel",1,Directed
13,"Niemann, Hans Moke","Chen, Forest",1,Directed
14,"Niemann, Hans Moke","Lux, Hugo de Melo",1,Directed
15,"Raja, Harshit","Niemann, Hans Moke",1,Directed
16,"Niemann, Hans Moke","Titus, Andrew L",1,Directed
17,"Niemann, Hans Moke","Huschenbeth, Niclas",1,Directed
18,"Niemann, Hans Moke","Stukopin, Andrey",1,Directed
19,"Erenburg, Sergey","Niemann, Hans Moke",1,Directed
20,"Niemann, Hans Moke","Wang, Annie",1,Directed
21,"Niemann, Hans Moke","Adamson, Robby",1,Directed
22,"Niemann, Hans Moke","Jacobson, Aaron",1,Directed
23,"Wang, Wesley","Niemann, Hans Moke",1,Directed
24,"Niemann, Hans Moke","Wang, Wesley",1,Directed
25,"Niemann, Hans Moke","Arjun, Vishnuvardhan",1,Directed
26,"Kevlishvili, Robby","Niemann, Hans Moke",1,Directed
27,"Niemann, Hans Moke","Gurevich, Dmitry",1,Directed
28,"Niemann, Hans Moke","Kiewra, Keaton F",1,Directed
29,"Niemann, Hans Moke","Bivol, Alina",1,Directed
30,"Niemann, Hans Moke","Ali Marandi, Cemil Can",1,Directed
31,"Patel, Advait","Niemann, Hans Moke",1,Directed
32,"Niemann, Hans Moke","Ozturk, Efe Hakan",1,Directed
33,"Niemann, Hans Moke","Martins, Bruno Andre Leite",1,Directed
34,"Niemann, Hans Moke","Tanriverdi, Enes",1,Directed
35,"Niemann, Hans Moke","Yakubboev, Nodirbek",1,Directed
36,"Niemann, Hans Moke","Badelka, Olga",1,Directed
37,"Niemann, Hans Moke","Baidetsky, Valentin",1,Directed
38,"Pour Agha Bala, Amirreza","Niemann, Hans Moke",1,Directed
39,"Niemann, Hans Moke","Csiki, Endre",1,Directed
40,"Niemann, Hans Moke","Rajesh, CS.",1,Directed
41,"Niemann, Hans Moke","Sinha, Sahil",1,Directed
42,"Vigorito, David","Niemann, Hans Moke",1,Directed
43,"Niemann, Hans Moke","Vigorito, David",1,Directed
44,"Niemann, Hans Moke","Sandler, Leonid",1,Directed
45,"Burke, John M","Niemann, Hans Moke",1,Directed
46,"Wang, Qibiao","Niemann, Hans Moke",1,Directed
47,"Stearman, Josiah P","Niemann, Hans Moke",1,Directed
48,"Niemann, Hans Moke","Wu, Rochelle",1,Directed
49,"Niemann, Hans Moke","Shlyakhtenko, Robert",1,Directed
50,"Niemann, Hans Moke","Costello, Alexander",1,Directed
51,"Niemann, Hans Moke","Ke, Ivan",1,Directed
52,"Niemann, Hans Moke","Hong, Andrew Z",1,Directed
53,"Niemann, Hans Moke","Barretto, Franz",1,Directed
54,"Niemann, Hans Moke","Plotkin, Victor",1,Directed
55,"Nyzhnyk, Illya","Niemann, Hans Moke",1,Directed
56,"Husbands, Orlando","Niemann, Hans Moke",1,Directed
57,"Niemann, Hans Moke","Graif, William",1,Directed
58,"Niemann, Hans Moke","Li, Ben",1,Directed
59,"Bryant, John Daniel","Niemann, Hans Moke",1,Directed
60,"Niemann, Hans Moke","Banerjee, Abhimanyu",1,Directed
61,"Niemann, Hans Moke","Zhou, Aiden",1,Directed
62,"Boekhoff, Andrew","Niemann, Hans Moke",1,Directed
63,"Niemann, Hans Moke","Mujumdar, Sameer Suhas",1,Directed
64,"Narayanan, Samrug","Niemann, Hans Moke",1,Directed
65,"Jacobson, Brandon","Niemann, Hans Moke",1,Directed
66,"Niemann, Hans Moke","Jacobson, Brandon",1,Directed
67,"Niemann, Hans Moke","Yu, Jennifer R",1,Directed
68,"Niemann, Hans Moke","Hilby, Craig",1,Directed
69,"Liang, Awonder","Niemann, Hans Moke",1,Directed
70,"Sheng, Joshua","Niemann, Hans Moke",1,Directed
71,"Niemann, Hans Moke","Green, Austen",1,Directed
72,"Niemann, Hans Moke","Melkumyan, Hrant",1,Directed
73,"Niemann, Hans Moke","Ortiz Suarez, Isan Reynaldo",1,Directed
74,"Niemann, Hans Moke","Guo, Arthur",1,Directed
75,"Macieja, Bartlomiej","Niemann, Hans Moke",1,Directed
76,"Niemann, Hans Moke","Karthik, Sai Ch",1,Directed
77,"Niemann, Hans Moke","Raahul, VS.",1,Directed
78,"Niemann, Hans Moke","Raja, Rithvik R",1,Directed
79,"Niemann, Hans Moke","Turgut, Aydin",1,Directed
80,"Niemann, Hans Moke","Makarian, Rudik",1,Directed
81,"Niemann, Hans Moke","Soto, Miguel Angel",1,Directed
82,"Aronyak, Ghosh","Niemann, Hans Moke",1,Directed
83,"Daghli, Arash","Niemann, Hans Moke",1,Directed
84,"Cardoso Cardoso, Jose Gabriel","Niemann, Hans Moke",1,Directed
85,"Khamrakulov, Djurabek","Niemann, Hans Moke",1,Directed
86,"Niemann, Hans Moke","Yudasin, Leonid",1,Directed
87,"Barbosa, Oliver","Niemann, Hans Moke",1,Directed
88,"Niemann, Hans Moke","Panjwani, Raja",1,Directed
89,"Niemann, Hans Moke","Krush, Irina",1,Directed
90,"Krush, Irina","Niemann, Hans Moke",1,Directed
91,"Niemann, Hans Moke","Steingrimsson, Hedinn",1,Directed
92,"Sturt, Raven M","Niemann, Hans Moke",1,Directed
93,"Paragua, Mark","Niemann, Hans Moke",1,Directed
94,"Niemann, Hans Moke","Krishnakumar, Sriram",1,Directed
95,"Vijay, Keerthi K","Niemann, Hans Moke",1,Directed
96,"Niemann, Hans Moke","Chen, Alex",1,Directed
97,"Niemann, Hans Moke","Arias, Mario",1,Directed
98,"Niemann, Hans Moke","Lehmann, Spencer G",1,Directed
99,"Aoshima, Mirai","Niemann, Hans Moke",1,Directed
100,"Niemann, Hans Moke","Peng, Shunkai",1,Directed
101,"Niemann, Hans Moke","Wang, Kevin A",1,Directed
102,"Niemann, Hans Moke","Korley, Kassa",1,Directed
103,"Perunovic, Milos","Niemann, Hans Moke",1,Directed
104,"Niemann, Hans Moke","Kaliksteyn, Alexander",1,Directed
105,"Niemann, Hans Moke","Yoo, Christopher Woojin",1,Directed
106,"Niemann, Hans Moke","Colas, Joshua",1,Directed
107,"Niemann, Hans Moke","Daggupati, Balaji",1,Directed
108,"Niemann, Hans Moke","Stremavicius, Titas",1,Directed
109,"Niemann, Hans Moke","Gauri, Shankar",1,Directed
110,"Niemann, Hans Moke","Ostrovskiy, Aleksandr A",1,Directed
111,"Niemann, Hans Moke","Mishra, Abhimanyu",1,Directed
112,"Lenderman, Aleksandr","Niemann, Hans Moke",1,Directed
113,"Chen, Ryo","Niemann, Hans Moke",1,Directed
114,"Niemann, Hans Moke","Proleiko, Julian",1,Directed
115,"Niemann, Hans Moke","Lu, Ming",1,Directed
116,"Niemann, Hans Moke","Antova, Gabriela",1,Directed
117,"Hakobyan, Aram","Niemann, Hans Moke",1,Directed
118,"Niemann, Hans Moke","Tsay, Vincent",1,Directed
119,"Niemann, Hans Moke","Posthuma, Joshua G",1,Directed
120,"Niemann, Hans Moke","Kanov, Nikola",1,Directed
121,"Niemann, Hans Moke","Dalaud, Dorian",1,Directed
122,"Santos Ruiz, Miguel","Niemann, Hans Moke",1,Directed
123,"Niemann, Hans Moke","Souhardo, Basak",1,Directed
124,"Niemann, Hans Moke","Carbonell Sancho, Marc",1,Directed
125,"Niemann, Hans Moke","Cornette, Matthieu",1,Directed
126,"Cheparinov, Ivan","Niemann, Hans Moke",1,Directed
127,"Niemann, Hans Moke","Maze, Sebastien",1,Directed
128,"Fier, Alexandr","Niemann, Hans Moke",1,Directed
129,"Niemann, Hans Moke","Persico, Lorenzo",1,Directed
130,"Niemann, Hans Moke","Mitran, Anthony Cristian",1,Directed
131,"Dardha, Daniel","Niemann, Hans Moke",1,Directed
132,"Niemann, Hans Moke","Orfini, Nicolo",1,Directed
133,"Niemann, Hans Moke","Loiacono, Antonio",1,Directed
134,"Niemann, Hans Moke","Basso, Pier Luigi",1,Directed
135,"Niemann, Hans Moke","Krivenko, Dion",1,Directed
136,"Niemann, Hans Moke","Dobrikov, Marco",1,Directed
137,"Niemann, Hans Moke","Checa, Nicolas D",1,Directed
138,"Bernadskiy, Vitaliy","Niemann, Hans Moke",1,Directed
139,"Niemann, Hans Moke","Vetokhin, Savva",1,Directed
140,"Niemann, Hans Moke","Atalik, Suat",1,Directed
141,"Niemann, Hans Moke","Dudin, Gleb",1,Directed
142,"Dudin, Gleb","Niemann, Hans Moke",1,Directed
143,"Niemann, Hans Moke","Ratkovic, Milovan",1,Directed
144,"Niemann, Hans Moke","Durak, Can",1,Directed
145,"Potpara, Nikola","Niemann, Hans Moke",1,Directed
146,"Niemann, Hans Moke","Potpara, Nikola",1,Directed
147,"Niemann, Hans Moke","Stankovic, Milos",1,Directed
148,"Niemann, Hans Moke","Abramovic, Bosko",1,Directed
149,"Kosic, Dragan","Niemann, Hans Moke",1,Directed
150,"Shahil, Dey","Niemann, Hans Moke",1,Directed
151,"Niemann, Hans Moke","Injac, Teodora",1,Directed
152,"Niemann, Hans Moke","Mijatovic, Dusan",1,Directed
153,"Niemann, Hans Moke","Doshi, Moksh Amitbhai",1,Directed
154,"Niemann, Hans Moke","Milosevic, Milos",1,Directed
155,"Niemann, Hans Moke","Lajthajm, Borko",1,Directed
156,"Niemann, Hans Moke","Czebe, Attila",1,Directed
157,"Niemann, Hans Moke","Sedlak, Nikola",1,Directed
